cd11c FITC	CD45 PE	F4/80 PeCy7	cd11b PB	MHCII APC	Ly6G APC cy7	PI
D	D	D	D	D	D	D
Q	Q	Q	Q	Q	Q	Q
17.7235	30.9596	150.405	84.261	111.487	61.2601	189.997
86.7303	243.239	320.028	645.666	120.636	0	1596.23
2952.07	1368.47	3013.78	1836.41	616.086	77.444	11851.2
138.288	74.2041	142.633	192.171	106.338	0	1232.49
8634.96	7575.96	60545.9	6249.2	1472.69	2071.38	231379
70.0531	0	659.117	177.687	110.119	0	174.502
3813.03	1398.68	9200.79	11567.6	817.738	115.566	28988.3
2547.87	8752.51	1821.25	1394.84	14941.7	33.4389	7028.4
76.0666	0	0	0	0	49.262	57.2414
567.899	311.113	116.327	310.464	177.562	24.5546	1082.12
429.981	0	39078.7	307.312	0	212.2	130964
317.169	0	32480.3	146.614	70.4089	866.091	114494
37.3422	71.6024	0	19.532	24.0665	0	0
0	0	0	0	26.6995	0	0
6.37435	1.81451	80.5291	0	0	0	0
0	0	120.939	41.4566	0	21.9434	0
320.722	318.128	0	177.913	0	40.9127	502.966
297.907	110.317	10.226	64.8659	0	9.42432	518.074
241.764	57.6702	160.139	133.659	0	0	0
299.54	126.962	0	289.204	560.065	121.377	555.578
0	146.006	0	0	148.301	60.2299	0
0	0	159.573	54.0979	0	21.5856	0
0	224.182	0	8.47286	0	0	0
112.677	96.3299	0.473958	23.7394	0	8.14969	0
2034.94	788.209	367.936	457.269	0	114.807	2180
153.821	112.813	1018.23	376.69	839.585	97.0395	2285.83
24.4038	56.9396	441.153	44.7806	27.7482	12.6958	286.465
158.105	671.652	20059.8	14.5494	284.853	0	79080.1
322.407	350.71	371.301	420.7	245.982	60.5388	2407.74
4.33473	208.518	0	71.3297	120.819	4.82152	0
94.3803	18902.1	3465.9	4548.44	23290.6	0	14445.9
0	0	0	121.668	281.298	13.379	0
1883.26	195.39	1677.87	605.455	108.377	872.706	2890.25
73.2128	0	175.92	111.801	146.215	0	648.271
340.451	116.236	79.9584	101.793	159.777	0	80.7684
829.446	87.9703	1547.62	179.844	47.3333	0	5315.28
167.889	0	1704.05	100.032	0	0	3255.43
135.663	160.524	0	134.884	65.2125	0	0
2581.22	628.791	675.487	1302.11	456.177	107.36	2531.6
8.2421	207.956	0	75.0583	0	0	0
14.7284	90.8061	56.3579	99.3933	61.3635	18.1159	330.801
1326.89	484.868	1069.43	864.753	0	76.5026	2112.73
620.104	449.02	171.429	837.565	0	64.7568	1004.92
1550.59	717.723	776.276	513.702	0	0	3837.71
1691.24	745.802	868.745	663.984	110.221	119.42	2593.08
87.0293	154.823	34.2619	155.566	0	101.033	523.934
0	108.83	70.0332	0	0	0	0
1040.45	181.502	464.244	252.081	0	23.41	831.801
0	0	360.296	76.971	0	11.019	0
173.377	72.5737	0	0	231.829	40.904	122.369
1233.64	297.874	1189.59	1388.29	481.64	3438.16	2561.18
7157.79	4153.58	37888.7	4185.07	1353.3	702.895	144425
709.588	254.904	0	234.534	158.04	14.2721	138.56
36448.1	9622.45	9801.52	10199.8	2924.35	435.156	33312.7
11232.6	4846.04	33519.4	7916.65	1296.89	1051.35	117797
12274.4	6698.67	87232.6	6542.39	1956.72	612.234	243170
70.4446	0	0	0	0	0	307.718
32024.8	7924.68	38388	8007.19	2021.97	1269.97	129478
13232.4	4159.31	4378.95	5211.31	2077.51	227.857	10940.7
